mjdarr,bbbmodel,sbbbmodel,synmodel,ssynmodel,bbodymodel,sbbodymodel,total,stotal 
54951.08203125,1.476127593010997e-12,2.0194839173657902e-28,9.8505880960201543e-14,4.0278081423863274e-21,2.092790280353631e-12,1.1514296663963206e-14,2.7848970155122879e-12,8.3546910465368633e-14
55152.484375,1.476127593010997e-12,2.0194839173657902e-28,9.4382740309601015e-13,3.22640308117569e-13,2.6313993428574589e-12,4.377603785278974e-13,4.2122035475445408e-12,1.2636610642633623e-13
55183.25390625,1.476127593010997e-12,2.0194839173657902e-28,1.2979410632082377e-12,2.6724193597985382e-13,3.0177452389964281e-12,4.2574680002885131e-13,4.8547580752740657e-12,1.4564274225822196e-13
55294.21484375,1.476127593010997e-12,2.0194839173657902e-28,1.188523757774653e-12,2.3387673079249964e-13,2.910737680837784e-12,3.6835103338259201e-13,4.5905087522933454e-12,1.3771526256880037e-13
55333.01171875,1.476127593010997e-12,2.0194839173657902e-28,1.3856173578951136e-12,2.6379003074938114e-13,2.6477374322128569e-12,3.750931687159115e-13,4.543192750765988e-12,1.3629578252297964e-13
55360.25390625,1.476127593010997e-12,2.0194839173657902e-28,1.8458608406147826e-12,1.9055151635816568e-13,3.1716910621042696e-12,2.8844693849216356e-13,5.3079375833094121e-12,1.5923812749928236e-13
55384.171875,1.476127593010997e-12,2.0194839173657902e-28,3.2297144270563125e-12,2.2211486082719332e-13,2.3784945559621451e-12,2.7199724658887743e-13,6.7305017454868358e-12,2.0191505236460507e-13
55512.6953125,1.476127593010997e-12,2.0194839173657902e-28,3.455587417672172e-13,3.1855017171447606e-13,2.5217040296726386e-12,5.1851384290951813e-13,3.4186573725732003e-12,1.0255972117719601e-13
55535.5,1.476127593010997e-12,2.0194839173657902e-28,2.1814610128389927e-13,2.821496700722547e-13,2.5346655161942189e-12,4.4527335461090335e-13,3.2364083303418385e-12,9.7092249910255149e-14
55566.109375,1.476127593010997e-12,2.0194839173657902e-28,2.676075955989684e-12,1.3221608644704823e-13,2.9544149980317009e-12,1.9701451026855334e-13,5.9178904948521782e-12,1.7753671484556533e-13
55597.390625,1.476127593010997e-12,2.0194839173657902e-28,2.4766427537547651e-13,3.7806070222460508e-13,2.3394534788004253e-12,5.89753613787551e-13,3.2010882006384564e-12,9.6032646019153693e-14
